2018_rank,name,2018_net_worth,age,2018_source,2018_country,2018_industry,founder,some_wealth_inheritance,major_wealth_inheritance,ethnicity,misc
379,robert rich,jr,4.8,78,frozen foods,united states,food,no,yes,yes,white
379,leonard stern,4.8,81,real estate,united states,pet supply,no,yes,yes,white,jewish
379,wang xing,4.8,46,e-commerce,china,,,,,,
379,daniel ziff,4.8,47,investments,united states,media,no,yes,yes,white,jewish
379,dirk ziff,4.8,55,investments,united states,media,no,yes,yes,white,jewish
379,robert ziff,4.8,52,investments,united states,media,no,yes,yes,white,jewish
394,dona bertarelli,4.7,51,biotech,switzerland,,,,,,
394,arthur blank,4.7,76,home depot,united states,retail,yes,no,no,white,jewish
394,tilman fertitta,4.7,62,houston rockets,entertainment,united states,sports,yes,yes,no,white
394,ray lee hunt,4.7,76,oil,real estate,united states,oil and gas,no,yes,yes,white
394,kjeld kirk kristiansen,4.7,71,lego,denmark,,,,,,
394,sofie kirk kristiansen,4.7,43,lego,denmark,,,,,,
394,thomas kirk kristiansen,4.7,40,lego,denmark,,,,,,
394,akira mori,4.7,83,real estate,japan,,,,,,
394,idan ofer,4.7,63,drilling,shipping,israel,,,,,
394,karsanbhai patel,4.7,75,consumer goods,india,,,,,,
394,alexandra schoerghuber,4.7,60,real estate,germany,,,,,,
394,yasumitsu shigeta,4.7,54,mobile phone retailer,japan,,,,,,
394,kushal pal singh,4.7,87,real estate,india,,,,,,
394,jeff skoll,4.7,54,ebay,united states,software,yes,yes,no,white,jewish
394,david sun,4.7,67,computer hardware,united states,computers,yes,no,no,asian,
394,agnete kirk thinggaard,4.7,36,lego,denmark,,,,,,
394,john tu,4.7,77,computer hardware,united states,computers,yes,no,no,asian,
394,xu jingren,4.7,74,pharmaceuticals,china,,,,,,
394,m.a. yusuff ali,4.7,63,retail,india,,,,,,
413,abdulla bin ahmad al ghurair,4.6,-,diversified,united arab emirates,,,,,,
413,david & frederick barclay,4.6,85,media,"retail""",united kingdom,,,,,
